filmLabel,actorLabel,releaseDate
Jangan Seperti Bapak,Aulia Sarah,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Donny Damara,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Verdi Solaiman,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Zee Asadel,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Damara Adelardo,2026-02-12T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Tora Sudiro,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Indy Barends,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Vino G. Bastian,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Indro,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Andre Taulany,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Hesti Purwadinata,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mongol Stres,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Cak Lontong,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mohamad Ali Sidik,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Dicky Difie,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Oki Rengga Winata,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Adjis Doaibu,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Kiky Saputri,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mister Aloy,2025-12-24T00:00:00Z
Panji Tengkorak,Denny Sumargo,2025-08-28T00:00:00Z
Panji Tengkorak,Tanta Ginting,2025-08-28T00:00:00Z
The Siege at Thorn High,Morgan Oey,2025-01-01T00:00:00Z
The Siege at Thorn High,Endi Arfian,2025-01-01T00:00:00Z
The Siege at Thorn High,Hana Malasan,2025-01-01T00:00:00Z
The Siege at Thorn High,Omara Esteghlal,2025-01-01T00:00:00Z
13 Bombs,Rio Dewanto,2023-12-28T00:00:00Z
13 Bombs,Putri Ayudya,2023-12-28T00:00:00Z
13 Bombs,Rio Dewanto,2023-12-02T00:00:00Z
13 Bombs,Putri Ayudya,2023-12-02T00:00:00Z
Hitmen,Vino G. Bastian,2023-04-27T00:00:00Z
Hitmen,Abdur Arsyad,2023-04-27T00:00:00Z
Hitmen,Cornelio Sunny,2023-04-27T00:00:00Z
Balada Si Roy,Febby Rastanty,2023-01-19T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2023-01-19T00:00:00Z
Balada Si Roy,Bio One,2023-01-19T00:00:00Z
Balada Si Roy,Febby Rastanty,2022-11-29T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2022-11-29T00:00:00Z
Balada Si Roy,Bio One,2022-11-29T00:00:00Z
Sri Asih,Christine Hakim,2022-11-17T00:00:00Z
Sri Asih,Surya Saputra,2022-11-17T00:00:00Z
Sri Asih,Pevita Pearce,2022-11-17T00:00:00Z
Sri Asih,Jefri Nichol,2022-11-17T00:00:00Z
Balada Si Roy,Febby Rastanty,2022-10-13T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2022-10-13T00:00:00Z
Balada Si Roy,Bio One,2022-10-13T00:00:00Z
Sayap-Sayap Patah,Ariel Tatum,2022-08-18T00:00:00Z
Sayap-Sayap Patah,Nicholas Saputra,2022-08-18T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Ladya Cheryl,2021-12-02T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Marthino Lio,2021-12-02T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Sal Priadi,2021-12-02T00:00:00Z
Roh Mati Paksa,Arnold Leonard,2021-10-21T00:00:00Z
Roh Mati Paksa,Gabriella Larasati,2021-10-21T00:00:00Z
Zerre: Pendekar Ufuk Timur,Aditya Zoni,2021-10-07T00:00:00Z
Zerre: Pendekar Ufuk Timur,Aisyah Aqilah,2021-10-07T00:00:00Z
Serigala Langit,Dede Yusuf,2021-08-10T00:00:00Z
Serigala Langit,Randy Pangalila,2021-08-10T00:00:00Z
Serigala Langit,Dian Sidik,2021-08-10T00:00:00Z
Serigala Langit,Donny Damara,2021-08-10T00:00:00Z
Serigala Langit,Wanda Hamidah,2021-08-10T00:00:00Z
Serigala Langit,Deva Mahenra,2021-08-10T00:00:00Z
Serigala Langit,Yayu Unru,2021-08-10T00:00:00Z
Serigala Langit,Bunga Jelitha,2021-08-10T00:00:00Z
Serigala Langit,Anya Geraldine,2021-08-10T00:00:00Z
Serigala Langit,Yoshi Sudarso,2021-08-10T00:00:00Z
Serigala Langit,Damara Adelardo,2021-08-10T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Ladya Cheryl,2021-08-08T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Marthino Lio,2021-08-08T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Sal Priadi,2021-08-08T00:00:00Z
Will,Morgan Oey,2021-07-16T00:00:00Z
Will,Brigitta Cynthia,2021-07-16T00:00:00Z
Will,Anggika Bölsterli,2021-07-16T00:00:00Z
Will,Panji Saputra,2021-07-16T00:00:00Z
Will,Willem Bevers,2021-07-16T00:00:00Z
Preman,Revaldo,2021-04-08T00:00:00Z
Preman,Putri Ayudya,2021-04-08T00:00:00Z
Preman,Khiva Iskak,2021-04-08T00:00:00Z
Preman,Nustiu,2021-04-08T00:00:00Z
Preman,Kiki Narendra,2021-04-08T00:00:00Z
Preman,Muzakki Ramdhan,2021-04-08T00:00:00Z
Preman,Farell Akbar,2021-04-08T00:00:00Z
Preman,Emil Kusumo,2021-04-08T00:00:00Z
Preman,Gilbert Pattiruhu,2021-04-08T00:00:00Z
Tarung Sarung,Surya Saputra,2020-12-31T00:00:00Z
Tarung Sarung,Imelda Therinne,2020-12-31T00:00:00Z
Tarung Sarung,Yayan Ruhian,2020-12-31T00:00:00Z
Tarung Sarung,Ikbal Fauzi,2020-12-31T00:00:00Z
Tarung Sarung,Cemal Faruk Urhan,2020-12-31T00:00:00Z
Tarung Sarung,Annette Edoarda,2020-12-31T00:00:00Z
Tarung Sarung,Panji Zoni,2020-12-31T00:00:00Z
Tarung Sarung,Maizura,2020-12-31T00:00:00Z
Once Upon a Time in Indonesia,Joshua Pandelaki,2020-11-20T00:00:00Z
Once Upon a Time in Indonesia,Rendy Septino,2020-11-20T00:00:00Z
Once Upon a Time in Indonesia,Ryana Dea,2020-11-20T00:00:00Z
Preman Pensiun,Didi Petet,2019-01-17T00:00:00Z
Preman Pensiun,Epy Kusnandar,2019-01-17T00:00:00Z
Preman Pensiun,Tya Arifin,2019-01-17T00:00:00Z
Preman Pensiun,Fuad Idris,2019-01-17T00:00:00Z
Preman Pensiun,Vina Ferina,2019-01-17T00:00:00Z
Preman Pensiun,Sadana Agung,2019-01-17T00:00:00Z
Preman Pensiun,Ica Naga,2019-01-17T00:00:00Z
Preman Pensiun,Abenk Marco,2019-01-17T00:00:00Z
Preman Pensiun,Fajar Hidayatullah,2019-01-17T00:00:00Z
Preman Pensiun,Soraya Rasyid,2019-01-17T00:00:00Z
Preman Pensiun,Denny Firdaus,2019-01-17T00:00:00Z
Preman Pensiun,Isye Sumarni,2019-01-17T00:00:00Z
Gundala,Bront Palarae,2019-01-01T00:00:00Z
Gundala,Abimana Aryasatya,2019-01-01T00:00:00Z
Gundala,Rio Dewanto,2019-01-01T00:00:00Z
Gundala,Ario Bayu,2019-01-01T00:00:00Z
Gundala,Tara Basro,2019-01-01T00:00:00Z
Insya Allah Sah 2,Luna Maya,2018-06-15T00:00:00Z
Insya Allah Sah 2,Donny Alamsyah,2018-06-15T00:00:00Z
Insya Allah Sah 2,Pandji Pragiwaksono,2018-06-15T00:00:00Z
Insya Allah Sah 2,Miller,2018-06-15T00:00:00Z
Maipa Deapati & Datu' Museng,Shaheer Sheikh,2018-01-11T00:00:00Z
Maipa Deapati & Datu' Museng,Hans de Kraker,2018-01-11T00:00:00Z
Security Ugal-ugalan,Indro,2017-01-19T00:00:00Z
Security Ugal-ugalan,Lolox,2017-01-19T00:00:00Z
Security Ugal-ugalan,Muhadkly Acho,2017-01-19T00:00:00Z
Security Ugal-ugalan,Sadana Agung,2017-01-19T00:00:00Z
Valentine,Q542843,2017-01-01T00:00:00Z
Valentine,Indra Birowo,2017-01-01T00:00:00Z
Valentine,Jeremy Thomas,2017-01-01T00:00:00Z
Valentine,Estelle Linden,2017-01-01T00:00:00Z
Valentine,Joshua Pandelaki,2017-01-01T00:00:00Z
Valentine,Leroy Osmani,2017-01-01T00:00:00Z
Valentine,Ahmad Affandy,2017-01-01T00:00:00Z
Valentine,Fendy Pradana,2017-01-01T00:00:00Z
Valentine,Marcell Domits,2017-01-01T00:00:00Z
Valentine,Nabila Putri,2017-01-01T00:00:00Z
I Leave My Heart In Lebanon,Revalina Sayuthi Temat,2016-12-15T00:00:00Z
I Leave My Heart In Lebanon,Rio Dewanto,2016-12-15T00:00:00Z
I Leave My Heart In Lebanon,Yama Carlos,2016-12-15T00:00:00Z
I Leave My Heart In Lebanon,Boris Thompson Manullang,2016-12-15T00:00:00Z
Headshot,Iko Uwais,2016-09-09T00:00:00Z
Juara,Bisma Karisma,2016-04-14T00:00:00Z
Juara,Tora Sudiro,2016-04-14T00:00:00Z
Juara,Cut Mini Theo,2016-04-14T00:00:00Z
Juara,Devi Noviaty,2016-04-14T00:00:00Z
Juara,Dina Anjani,2016-04-14T00:00:00Z
Juara,Qausar Harta Yudana,2016-04-14T00:00:00Z
Juara,Ciccio Manassero,2016-04-14T00:00:00Z
Juara,Sendy Taroreh,2016-04-14T00:00:00Z
Juara,Mohamad Ali Sidik,2016-04-14T00:00:00Z
Juara,Dicky Difie,2016-04-14T00:00:00Z
Juara,Ronny P. Tjandra,2016-04-14T00:00:00Z
Juara,Arthur Stefano Anapaku,2016-04-14T00:00:00Z
Juara,Cecep Arif Rahman,2016-04-14T00:00:00Z
Jagoan Instan,Dede Yusuf,2016-02-18T00:00:00Z
Jagoan Instan,Alexa Key,2016-02-18T00:00:00Z
Jagoan Instan,Meriam Bellina,2016-02-18T00:00:00Z
Jagoan Instan,Kevin Julio,2016-02-18T00:00:00Z
Jagoan Instan,Andovi da Lopez,2016-02-18T00:00:00Z
Jagoan Instan,Jovial da Lopez,2016-02-18T00:00:00Z
Jagoan Instan,Kemal Palevi,2016-02-18T00:00:00Z
Jagoan Instan,Anisa Rahma,2016-02-18T00:00:00Z
Wanita Berdarah,Guntur Triyoga,2016-01-07T00:00:00Z
Wanita Berdarah,Febriyanie Ferdzilla,2016-01-07T00:00:00Z
Wanita Berdarah,Cinta Dewi,2016-01-07T00:00:00Z
Gangster,Dian Sastrowardoyo,2015-08-27T00:00:00Z
Gangster,Agus Kuncoro,2015-08-27T00:00:00Z
Gangster,Dede Yusuf,2015-08-27T00:00:00Z
Gangster,Dwi Sasono,2015-08-27T00:00:00Z
Gangster,Dominique Sanda,2015-08-27T00:00:00Z
Gangster,Eriska Reinisa,2015-08-27T00:00:00Z
Gangster,Lukman Sardi,2015-08-27T00:00:00Z
Gangster,Yayan Ruhian,2015-08-27T00:00:00Z
Gangster,Moammar Emka,2015-08-27T00:00:00Z
Gangster,Insan Nur Akbar,2015-08-27T00:00:00Z
Gangster,Hamish Daud,2015-08-27T00:00:00Z
Gangster,Ganindra Bimo,2015-08-27T00:00:00Z
Gangster,Gunawan Maryanto,2015-08-27T00:00:00Z
Gangster,Emmie Lemu,2015-08-27T00:00:00Z
Gangster,McDanny,2015-08-27T00:00:00Z
Gangster,Kelly Tandiono,2015-08-27T00:00:00Z
Gangster,Raihan Khan,2015-08-27T00:00:00Z
Gangster,Putri Anne,2015-08-27T00:00:00Z
Gangster,Erick Estrada,2015-08-27T00:00:00Z
Gangster,Nina Kozok,2015-08-27T00:00:00Z
The Raid 2,Ryūhei Matsuda,2014-07-24T00:00:00Z
The Raid 2,Kenichi Endō,2014-07-24T00:00:00Z
The Raid 2,Iko Uwais,2014-07-24T00:00:00Z
The Raid 2,Roy Marten,2014-07-24T00:00:00Z
The Raid 2,Oka Antara,2014-07-24T00:00:00Z
The Raid 2,Julie Estelle,2014-07-24T00:00:00Z
The Raid 2,Tio Pakusadewo,2014-07-24T00:00:00Z
The Raid 2,Arifin Putra,2014-07-24T00:00:00Z
The Raid 2,Zack Lee,2014-07-24T00:00:00Z
The Raid 2,Alex Abbad,2014-07-24T00:00:00Z
The Raid 2,Ryūhei Matsuda,2014-01-21T00:00:00Z
The Raid 2,Kenichi Endō,2014-01-21T00:00:00Z
The Raid 2,Iko Uwais,2014-01-21T00:00:00Z
The Raid 2,Roy Marten,2014-01-21T00:00:00Z
The Raid 2,Oka Antara,2014-01-21T00:00:00Z
The Raid 2,Julie Estelle,2014-01-21T00:00:00Z
The Raid 2,Tio Pakusadewo,2014-01-21T00:00:00Z
The Raid 2,Arifin Putra,2014-01-21T00:00:00Z
The Raid 2,Zack Lee,2014-01-21T00:00:00Z
The Raid 2,Alex Abbad,2014-01-21T00:00:00Z
Street Society,Marcel Chandrawinata,2014-01-01T00:00:00Z
Java Heat,Mickey Rourke,2013-04-11T00:00:00Z
Java Heat,Kellan Lutz,2013-04-11T00:00:00Z
Java Heat,Atiqah Hasiholan,2013-04-11T00:00:00Z
Java Heat,Frans Tumbuan,2013-04-11T00:00:00Z
Java Heat,Rudy Wowor,2013-04-11T00:00:00Z
Java Heat,Agung Udijana,2013-04-11T00:00:00Z
Java Heat,Astri Nurdin,2013-04-11T00:00:00Z
Java Heat,Mike Lucock,2013-04-11T00:00:00Z
Java Heat,Rio Dewanto,2013-04-11T00:00:00Z
Java Heat,Tio Pakusadewo,2013-04-11T00:00:00Z
Java Heat,Verdi Solaiman,2013-04-11T00:00:00Z
Java Heat,Ario Bayu,2013-04-11T00:00:00Z
Java Heat,Uli Auliani,2013-04-11T00:00:00Z
Java Heat,Rifnu alqa wikana,2013-04-11T00:00:00Z
Java Heat,Tegar Satria,2013-04-11T00:00:00Z
Vendetta,Bruce Payne,2013-01-01T00:00:00Z
Vendetta,Vincent Regan,2013-01-01T00:00:00Z
Vendetta,Danny Dyer,2013-01-01T00:00:00Z
The Raid,Iko Uwais,2012-07-26T00:00:00Z
The Raid,Joe Taslim,2012-07-26T00:00:00Z
The Raid,Donny Alamsyah,2012-07-26T00:00:00Z
The Raid,Yayan Ruhian,2012-07-26T00:00:00Z
The Raid,Iko Uwais,2012-07-12T00:00:00Z
The Raid,Joe Taslim,2012-07-12T00:00:00Z
The Raid,Donny Alamsyah,2012-07-12T00:00:00Z
The Raid,Yayan Ruhian,2012-07-12T00:00:00Z
The Raid,Iko Uwais,2012-01-01T00:00:00Z
The Raid,Joe Taslim,2012-01-01T00:00:00Z
The Raid,Donny Alamsyah,2012-01-01T00:00:00Z
The Raid,Yayan Ruhian,2012-01-01T00:00:00Z
X - The Last Moment,Keith Foo,2011-12-08T00:00:00Z
X - The Last Moment,Mike Lucock,2011-12-08T00:00:00Z
X - The Last Moment,Jenny Cortez,2011-12-08T00:00:00Z
X - The Last Moment,Cinta Dewi,2011-12-08T00:00:00Z
X - The Last Moment,Rocky Jeff,2011-12-08T00:00:00Z
The Mentalist,Limbad,2011-11-10T00:00:00Z
The Mentalist,Deddy Corbuzier,2011-11-10T00:00:00Z
The Raid,Iko Uwais,2011-09-08T00:00:00Z
The Raid,Joe Taslim,2011-09-08T00:00:00Z
The Raid,Donny Alamsyah,2011-09-08T00:00:00Z
The Raid,Yayan Ruhian,2011-09-08T00:00:00Z
Pirate Brothers,Robin Shou,2011-05-26T00:00:00Z
Pirate Brothers,Verdy Bhawanta,2011-05-26T00:00:00Z
Fight – City of Darkness,Guntur Triyoga,2011-01-01T00:00:00Z
Fight – City of Darkness,volland humanggio,2011-01-01T00:00:00Z
Fight – City of Darkness,Cinta Dewi,2011-01-01T00:00:00Z
Fight – City of Darkness,Fikri Baladraf,2011-01-01T00:00:00Z
Mafia Insyaf,Tora Sudiro,2010-01-01T00:00:00Z
Mafia Insyaf,Atiqah Hasiholan,2010-01-01T00:00:00Z
Mafia Insyaf,Jaja Mihardja,2010-01-01T00:00:00Z
